2015-05-21 16:15:35,170 DEBUG START
2015-05-21 16:15:35,170 DEBUG 3
2015-05-21 16:15:35,291 DEBUG GET DATA: 256
2015-05-21 16:15:35,291 DEBUG END
2015-05-21 16:15:35,292 DEBUG 



2015-05-21 16:16:14,697 DEBUG START
2015-05-21 16:16:14,698 DEBUG 3
2015-05-21 16:16:15,610 DEBUG GET DATA: 0
2015-05-21 16:16:15,611 DEBUG END
2015-05-21 16:16:15,611 DEBUG 



2015-05-21 16:19:56,084 DEBUG START
2015-05-21 16:19:56,084 DEBUG 3
2015-05-21 16:19:56,992 DEBUG GET DATA: 0
2015-05-21 16:19:56,992 DEBUG END
2015-05-21 16:19:56,992 DEBUG 



2015-05-21 16:20:27,135 DEBUG START
2015-05-21 16:20:27,135 DEBUG 3
2015-05-21 16:20:28,082 DEBUG GET DATA: 0
2015-05-21 16:20:28,082 DEBUG END
2015-05-21 16:20:28,083 DEBUG 



2015-05-21 16:21:16,462 DEBUG START
2015-05-21 16:21:16,462 DEBUG 3
2015-05-21 16:21:17,390 DEBUG GET DATA: 0
2015-05-21 16:21:17,390 DEBUG END
2015-05-21 16:21:17,391 DEBUG 



2015-05-21 16:21:44,543 DEBUG START
2015-05-21 16:21:44,543 DEBUG 1
2015-05-21 16:21:45,481 DEBUG GET DATA: 0
2015-05-21 16:21:48,216 DEBUG END
2015-05-21 16:21:48,217 DEBUG 



